[11:24:56]设备[ID107Plus HR]E7:C1:25:A9:23:99连接了.....
[11:32:04] b7 65
[11:32:05] b7 65
[11:32:06] b7 65
[11:32:07] b6 65
[11:32:08] b6 65
[11:32:09] b5 65
[11:32:10] b6 65
[11:32:11] b6 65
[11:32:12] b6 65
[11:32:13] b6 65
[11:32:14] b5 65
[11:32:15] b5 65
[11:32:16] b5 65
[11:32:17] b5 65
[11:32:18] b4 65
[11:32:19] b4 65
[11:32:20] b4 65
[11:32:21] b5 65
[11:32:22] b5 65
[11:32:23] b5 65
[11:32:24] b4 65
[11:32:25] b4 65
[11:32:26] b4 65
[11:32:27] b4 65
[11:32:28] b3 65
[11:32:29] b3 65
[11:32:30] b3 65
[11:32:31] b3 65
[11:32:32] b3 65
[11:32:33] b2 65
[11:32:34] b2 65
[11:32:35] b3 65
[11:32:36] b2 65
[11:32:37] b2 65
[11:32:38] b2 65
[11:32:39] b2 65
[11:32:40] b3 65
[11:32:41] b4 65
[11:32:42] b4 65
[11:32:43] b5 65
[11:32:44] b5 65
[11:32:45] b6 65
[11:32:46] b5 65
[11:32:47] b5 65
[11:32:48] b5 65
[11:32:49] b6 65
[11:32:50] b6 65
[11:32:51] b6 65
[11:32:52] b6 65
[11:32:53] b6 65
[11:32:54] b6 65
[11:32:55] b6 65
[11:32:56] b5 65
[11:32:57] b5 65
[11:32:58] b5 65
[11:32:59] b5 65
[11:33:00] b5 65
[11:33:01] b6 65
[11:33:02] b6 65
[11:33:03] b6 65
[11:33:04] b6 65
[11:33:05] b6 65
[11:33:06] b6 65
[11:33:07] b6 65
[11:33:08] b6 65
[11:33:09] b6 65
[11:33:10] b6 65
[11:33:11] b5 65
[11:33:12] b5 65
[11:33:13] b5 65
[11:33:14] b5 65
[11:33:15] b5 65
[11:33:16] b5 65
[11:33:17] b5 65
[11:33:18] b5 65
[11:33:19] b5 65
[11:33:20] b5 65
[11:33:21] b5 65
[11:33:22] b6 65
[11:33:23] b6 65
[11:33:24] b6 65
[11:33:25] b6 65
[11:33:26] b5 65
[11:33:27] b5 65
[11:33:28] b5 65
[11:33:29] b5 65
[11:33:30] b5 65
[11:33:31] b5 65
[11:33:32] b6 65
[11:33:33] b5 65
[11:33:34] b5 65
[11:33:35] b5 65
[11:33:36] b5 65
[11:33:37] b5 65
[11:33:38] b4 65
[11:33:39] b5 65
