[16:32:42]设备[Polar H10 082A5724]EE:E4:E7:AD:42:9B连接了.....
[16:32:47]设备[C5:F7:76:AF:E2:E0断开了.....
[16:32:59]设备[ID107Plus HR]C5:F7:76:AF:E2:E0连接了.....
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 70 1a 6e 00 01 65 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6e 1a 6c 00 01 66 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 73 1a 6d 00 01 67 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 65 1a 66 00 01 68 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 72 1a 6b 00 01 69 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6b 1a 67 00 01 6a 
[16:33:13] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6a 1a 6d 00 01 6b 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6e 1a 66 00 01 6c 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 65 1a 68 00 01 6d 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 66 1a 69 00 02 6e 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 71 1a 68 00 02 6f 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 61 81 79 1a 6a 1a 61 00 02 70 
[16:33:14] 00 00 61 81 79 60 81 79 60 81 79 60 81 79 1a 69 1a 69 00 02 71 
[16:33:14] 00 00 60 81 7a 60 81 79 60 81 79 60 81 79 1a 6e 1a 6b 00 02 72 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 6c 1a 6a 00 02 73 
[16:33:14] 00 10 11 01 04 1e 01 01 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 66 1a 6a 00 02 74 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 62 1a 67 00 02 75 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 67 1a 65 00 02 76 
[16:33:14] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 62 1a 66 00 02 77 
[16:33:14] 00 00 60 80 79 60 80 79 60 81 79 60 81 79 1a 63 1a 69 00 02 78 
[16:33:15] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 63 1a 65 00 02 79 
[16:33:15] 00 00 60 81 79 60 81 79 60 81 79 61 81 79 1a 6b 1a 66 00 02 7a 
[16:33:15] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 67 1a 59 00 02 7b 
[16:33:15] 00 00 60 81 79 60 81 79 60 81 79 60 81 79 1a 69 1a 63 00 02 7c 
[16:33:15] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 58 1a 5f 00 01 7d 
[16:33:15] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 67 1a 64 00 01 7e 
[16:33:15] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 61 1a 59 00 01 7f 
[16:33:15] 00 2d 60 81 79 60 81 79 60 81 79 60 81 79 1a 64 1a 63 00 01 80 
